# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5M of event 'cycles:u'
# Event count (approx.): 4481893855902
#
# Overhead  Command         Shared Object                    Symbol                           
# ........  ..............  ...............................  .................................
#
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff817db77a
     0.00%  benchmark-blas  libpthread-2.31.so               [.] __pthread_disable_asynccancel
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81255743
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81103084
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff817e4718
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8118a934
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff817d7f2d
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81120b65
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8118a954
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8180004c
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81123963
     0.00%  benchmark-blas  ld-2.31.so                       [.] _dl_start
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8118a87a
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff817db781
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff817db7aa
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff818001d6
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8118aa50
